Year,BEB - Value,HEB - Value,BEB - Diff,HEB - Diff,BEB - Investment Cost (M$),HEB - Investment Cost (M$),future,CDB - Diff,CDB - Investment Cost (M$)
2022,15,9,0.0,0.0,0.0,0.0,PVTA 5-Year,30.0,15.0
2023,23,9,8.0,0.0,10.4,0.0,PVTA 5-Year,50.0,25.0
2024,23,25,0.0,16.0,0.0,14.4,PVTA 5-Year,0.0,0.0
2025,27,35,4.0,10.0,5.2,9.0,PVTA 5-Year,0.0,0.0
2026,38,35,11.0,0.0,14.3,0.0,PVTA 5-Year,2.0,1.0
2027,42,39,4.0,4.0,5.2,3.6,PVTA 5-Year,7.0,3.5
2028,52,39,10.0,0.0,13.0,0.0,PVTA 5-Year,0.0,0.0
2029,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,0.0,0.0
2030,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,4.0,2.0
2031,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,0.0,0.0
2032,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,24.0,12.0
2033,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,5.0,2.5
2034,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,0.0,0.0
2035,52,39,0.0,0.0,0.0,0.0,PVTA 5-Year,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,hi-cap Electric,30.0,15.0
2023,23,9,8.0,0.0,10.4,0.0,hi-cap Electric,50.0,25.0
2024,23,9,0.0,0.0,0.0,0.0,hi-cap Electric,11.0,5.5
2025,27,9,4.0,0.0,5.2,0.0,hi-cap Electric,0.0,0.0
2026,38,9,11.0,0.0,14.3,0.0,hi-cap Electric,2.0,1.0
2027,42,9,4.0,0.0,5.2,0.0,hi-cap Electric,11.0,5.5
2028,52,9,10.0,0.0,13.0,0.0,hi-cap Electric,0.0,0.0
2029,68,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2030,84,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2031,100,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2032,116,9,16.0,0.0,20.8,0.0,hi-cap Electric,8.0,4.0
2033,132,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2034,148,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2035,164,9,16.0,0.0,20.8,0.0,hi-cap Electric,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,mid-cap Electric,30.0,15.0
2023,23,9,8.0,0.0,10.4,0.0,mid-cap Electric,50.0,25.0
2024,23,9,0.0,0.0,0.0,0.0,mid-cap Electric,11.0,5.5
2025,27,9,4.0,0.0,5.2,0.0,mid-cap Electric,0.0,0.0
2026,37,9,10.0,0.0,13.0,0.0,mid-cap Electric,3.0,1.5
2027,42,9,5.0,0.0,6.5,0.0,mid-cap Electric,10.0,5.0
2028,52,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2029,62,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2030,72,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2031,82,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2032,92,9,10.0,0.0,13.0,0.0,mid-cap Electric,14.0,7.0
2033,102,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2034,112,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2035,122,9,10.0,0.0,13.0,0.0,mid-cap Electric,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,lo-cap Electric,30.0,15.0
2023,20,9,5.0,0.0,6.5,0.0,lo-cap Electric,53.0,26.5
2024,23,9,3.0,0.0,3.9000000000000004,0.0,lo-cap Electric,8.0,4.0
2025,27,9,4.0,0.0,5.2,0.0,lo-cap Electric,0.0,0.0
2026,32,9,5.0,0.0,6.5,0.0,lo-cap Electric,8.0,4.0
2027,37,9,5.0,0.0,6.5,0.0,lo-cap Electric,10.0,5.0
2028,42,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2029,47,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2030,52,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2031,57,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2032,62,9,5.0,0.0,6.5,0.0,lo-cap Electric,19.0,9.5
2033,67,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2034,72,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2035,77,9,5.0,0.0,6.5,0.0,lo-cap Electric,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,hi-cap Hybrid,30.0,15.0
2023,15,32,0.0,23.0,0.0,20.7,hi-cap Hybrid,35.0,17.5
2024,15,55,0.0,23.0,0.0,20.7,hi-cap Hybrid,0.0,0.0
2025,15,78,0.0,23.0,0.0,20.7,hi-cap Hybrid,0.0,0.0
2026,15,101,0.0,23.0,0.0,20.7,hi-cap Hybrid,0.0,0.0
2027,15,119,0.0,18.0,0.0,16.2,hi-cap Hybrid,0.0,0.0
2028,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,3.0,1.5
2029,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,0.0,0.0
2030,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,4.0,2.0
2031,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,0.0,0.0
2032,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,24.0,12.0
2033,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,5.0,2.5
2034,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,0.0,0.0
2035,15,119,0.0,0.0,0.0,0.0,hi-cap Hybrid,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,mid-cap Hybrid,30.0,15.0
2023,15,24,0.0,15.0,0.0,13.5,mid-cap Hybrid,43.0,21.5
2024,15,39,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2025,15,54,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2026,15,69,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2027,15,84,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2028,15,99,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2029,15,114,0.0,15.0,0.0,13.5,mid-cap Hybrid,0.0,0.0
2030,15,119,0.0,5.0,0.0,4.5,mid-cap Hybrid,0.0,0.0
2031,15,119,0.0,0.0,0.0,0.0,mid-cap Hybrid,0.0,0.0
2032,15,119,0.0,0.0,0.0,0.0,mid-cap Hybrid,24.0,12.0
2033,15,119,0.0,0.0,0.0,0.0,mid-cap Hybrid,5.0,2.5
2034,15,119,0.0,0.0,0.0,0.0,mid-cap Hybrid,0.0,0.0
2035,15,119,0.0,0.0,0.0,0.0,mid-cap Hybrid,0.0,0.0
2022,15,9,0.0,0.0,0.0,0.0,lo-cap Hybrid,30.0,15.0
2023,23,9,8.0,0.0,10.4,0.0,lo-cap Hybrid,50.0,25.0
2024,23,25,0.0,16.0,0.0,14.4,lo-cap Hybrid,0.0,0.0
2025,27,35,4.0,10.0,5.2,9.0,lo-cap Hybrid,0.0,0.0
2026,38,35,11.0,0.0,14.3,0.0,lo-cap Hybrid,2.0,1.0
2027,42,39,4.0,4.0,5.2,3.6,lo-cap Hybrid,7.0,3.5
