service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S2303-AMD-Weekday-50,1,1,1,1,1,0,0,20230619,20230619
S2303-AMD-Weekday-57,1,1,1,1,1,0,0,20230616,20230616
S2303-AMD-Weekday-57-1101100,1,1,0,1,1,0,0,20230616,20230616
S2303-AMD-Weekday-58,1,1,1,1,1,0,0,20230621,20230621
S2303-AMD-Weekday-59,1,1,1,1,1,0,0,20230620,20230620
S2303-AMD-Weekday-60,1,1,1,1,1,0,0,20230622,20230623
S2303-Satco-Saturday-01,0,0,0,0,0,1,0,20230617,20230624
S2306-Satco-Saturday-01,0,0,0,0,0,1,0,20230701,20230826
S2303-Satco-Sunday-01,0,0,0,0,0,0,1,20230618,20230618
S2306-Satco-Sunday-01,0,0,0,0,0,0,1,20230625,20230820
S2306-SATCo-Weekday-07,1,1,1,1,1,0,0,20230626,20230825
UM2223-UMTS-Weekday-78,1,1,1,1,1,0,0,20230616,20230825
UM2223-UMTS-Weekday-78-1001100,1,0,0,1,1,0,0,20230616,20230825
UM2223-UMTS-Saturday-29,0,0,0,0,0,1,0,20230617,20230826
UM2223-UMTS-Sunday-23,0,0,0,0,0,0,1,20230618,20230820
N2305-VATCo-Weekday-99,1,1,1,1,1,0,0,20230616,20230825
N2305-VATCo-Weekday-99-1000000,1,0,0,0,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-0111100,0,1,1,1,1,0,0,20230616,20230825
N2305-VATCo-Weekday-99-0011000,0,0,1,1,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-1100000,1,1,0,0,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-0001000,0,0,0,1,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-0010000,0,0,1,0,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-1110000,1,1,1,0,0,0,0,20230616,20230825
N2305-VATCo-Weekday-99-0000100,0,0,0,0,1,0,0,20230616,20230825
N2305-VATCo-Saturday-01,0,0,0,0,0,1,0,20230617,20230826
N2305-VATCo-Sunday-01,0,0,0,0,0,0,1,20230618,20230820
N2305-VATCo-Sunday-03,0,0,0,0,0,0,1,20230704,20230704
