route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R41,N2305-VATCo-Weekday-99,4017904-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426368,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017905-N2305-VATCo-Weekday-99-1000000,"Northampton via Holyoke C.C., Easthampton",0,426367,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017906-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426369,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017907-N2305-VATCo-Weekday-99-1000000,"Northampton",0,426367,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017908-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426369,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017909-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426368,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017910-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426368,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017911-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426369,R410062,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017912-N2305-VATCo-Weekday-99-1000000,"Holyoke Mall via Easthampton",1,426367,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017913-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426368,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017914-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426369,R410062,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017915-N2305-VATCo-Weekday-99-1000000,"Holyoke Mall via Easthampton",1,426367,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017916-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426368,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017917-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426369,R410062,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017918-N2305-VATCo-Weekday-99-1000000,"Holyoke Mall via Easthampton",1,426367,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017919-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426368,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017920-N2305-VATCo-Weekday-99,"Holyoke Mall via Easthampton",1,426369,R410062,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017921-N2305-VATCo-Weekday-99-1000000,"Holyoke Mall via Easthampton",1,426367,R410062,1,1
R41,N2305-VATCo-Weekday-99,4017922-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426368,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017923-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426369,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017924-N2305-VATCo-Weekday-99-1000000,"Northampton via Holyoke C.C., Easthampton",0,426367,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017925-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426368,R410061,1,1
R41,N2305-VATCo-Weekday-99,4017926-N2305-VATCo-Weekday-99,"Northampton via Holyoke C.C., Easthampton",0,426369,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017927-N2305-VATCo-Weekday-99-1000000,"Northampton via Holyoke C.C., Easthampton",0,426367,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017928-N2305-VATCo-Weekday-99-1000000,"Northampton via Holyoke C.C., Easthampton",0,426367,R410061,1,1
R41,N2305-VATCo-Weekday-99-1000000,4017929-N2305-VATCo-Weekday-99-1000000,"Holyoke Mall via Easthampton",1,426367,R410062,1,1
R44,N2305-VATCo-Weekday-99,4017930-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R440484,1,1
R42,N2305-VATCo-Weekday-99,4017931-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017932-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017933-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426369,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017934-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426369,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017935-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017936-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426369,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017937-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426369,R420105,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017938-N2305-VATCo-Weekday-99-1000000,"Williamsburg via V.A. Hospital",0,426367,R420105,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017939-N2305-VATCo-Weekday-99-1000000,"Williamsburg via V.A. Hospital",0,426367,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017940-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420103,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017941-N2305-VATCo-Weekday-99-1000000,"Williamsburg via V.A. Hospital",0,426367,R420105,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017942-N2305-VATCo-Weekday-99-1000000,"Williamsburg via V.A. Hospital",0,426367,R420105,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017943-N2305-VATCo-Weekday-99-1000000,"Williamsburg via V.A. Hospital",0,426367,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017945-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426369,R420105,1,1
R42,N2305-VATCo-Weekday-99,4017946-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426368,R420104,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017947-N2305-VATCo-Weekday-99-1000000,"Northampton",1,426367,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017948-N2305-VATCo-Weekday-99,"Northampton",1,426369,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017949-N2305-VATCo-Weekday-99,"Northampton",1,426368,R420104,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017950-N2305-VATCo-Weekday-99-1000000,"Northampton to Holyoke Mall",1,426367,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017951-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426369,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017952-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426368,R420104,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017953-N2305-VATCo-Weekday-99-1000000,"Northampton to Holyoke Mall",1,426367,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017954-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426369,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017955-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426368,R420104,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017956-N2305-VATCo-Weekday-99-1000000,"Northampton to Holyoke Mall",1,426367,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017957-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426369,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017958-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426368,R420104,1,1
R42,N2305-VATCo-Weekday-99-1000000,4017959-N2305-VATCo-Weekday-99-1000000,"Northampton to Holyoke Mall",1,426367,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017960-N2305-VATCo-Weekday-99,"Northampton to Holyoke Mall",1,426369,R420104,1,1
R42,N2305-VATCo-Weekday-99,4017961-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420113,1,1
R42,N2305-VATCo-Weekday-99,4017962-N2305-VATCo-Weekday-99,"Williamsburg via V.A. Hospital",0,426368,R420107,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017968-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017970-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017971-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017972-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017973-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017974-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017975-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480057,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017976-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017977-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480057,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017978-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017979-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017980-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017981-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017982-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017983-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017984-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480057,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017985-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017986-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017987-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017988-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017989-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480057,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017990-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480057,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017991-N2305-VATCo-Weekday-99-0111100,"Holyoke Trans. Ctr. via Rt. 5",1,426362,B480047,1,1
B48,N2305-VATCo-Weekday-99-0111100,4017992-N2305-VATCo-Weekday-99-0111100,"Northampton",0,426362,B480048,1,1
