stopid,lat,lon
1,42.47704,-72.60745
2,42.47255,-72.6014
4,42.46802,-72.59544
6,42.46539,-72.57587
7,42.45935,-72.57845
8,42.45829,-72.57247
9,42.45767,-72.58146
10,42.45468,-72.56769
11,42.45223,-72.56359
12,42.45157,-72.56287
13,42.44653,-72.55471
14,42.44223,-72.55133
15,42.44217,-72.55149
17,42.43158,-72.54387
18,42.43193,-72.54397
19,42.42701,-72.53996
20,42.42698,-72.54014
21,42.41618,-72.52039
22,42.41539,-72.50735
23,42.41412,-72.52831
24,42.41383,-72.50635
25,42.41299,-72.50832
26,42.41244,-72.51323
28,42.41067,-72.52433
29,42.40959,-72.53461
30,42.40963,-72.53347
31,42.40918,-72.53063
32,42.40907,-72.53075
33,42.40684,-72.51447
34,42.40588,-72.53248
35,42.40494,-72.53083
36,42.40461,-72.51485
37,42.40386,-72.52944
38,42.4032,-72.52916
39,42.40219,-72.51534
40,42.39835,-72.51607
41,42.39842,-72.51623
42,42.3982,-72.52812
43,42.39763,-72.52795
44,42.39726,-72.52169
45,42.39711,-72.52146
46,42.39576,-72.52547
47,42.39569,-72.52528
48,42.39555,-72.51122
49,42.39552,-72.53259
50,42.3954,-72.53245
51,42.39525,-72.51331
52,42.39487,-72.51108
53,42.3946,-72.51581
54,42.39502,-72.51555
55,42.39201,-72.72971
56,42.39383,-72.5261
58,42.39365,-72.52616
59,42.3927,-72.51928
60,42.39254,-72.53424
61,42.39237,-72.53613
62,42.39182,-72.52001
63,42.39148,-72.52524
64,42.39099,-72.5253
65,42.38937,-72.51886
66,42.38935,-72.51894
67,42.38918,-72.53247
68,42.38896,-72.51765
69,42.38881,-72.51749
70,42.38918,-72.53231
71,42.38783,-72.52391
72,42.38766,-72.5235
73,42.38715,-72.5264
74,42.38623,-72.53123
75,42.38547,-72.52467
76,42.38655,-72.5312
77,42.384961,-72.52828
78,42.384693,-72.528417
79,42.38368,-72.51848
80,42.38347,-72.51882
81,42.38305,-72.52048
82,42.382884,-72.52056
83,42.38236,-72.53225
84,42.38228,-72.53216
85,42.38222,-72.5191
