Vehicle,Powertrain,Age
1205,conventional,
1410,electric,6.0
1411,electric,6.0
1413,electric,2.0
1414,electric,2.0
1416,electric,2.0
1420,electric,
1421,electric,
1513,conventional,16.0
1515,conventional,16.0
1552,conventional,14.0
1553,conventional,14.0
1554,conventional,14.0
1555,conventional,14.0
1556,conventional,14.0
1561,conventional,14.0
1562,conventional,14.0
1563,conventional,12.0
1564,conventional,12.0
1567,conventional,12.0
1568,conventional,12.0
1569,conventional,12.0
1571,conventional,12.0
1573,conventional,12.0
1575,conventional,12.0
1576,conventional,12.0
1618,conventional,16.0
1619,conventional,16.0
1621,conventional,16.0
1630,conventional,15.0
1640,conventional,14.0
1642,conventional,14.0
1643,conventional,14.0
1644,conventional,14.0
1645,conventional,14.0
1646,conventional,14.0
1647,conventional,14.0
1648,conventional,14.0
1649,conventional,14.0
1651,conventional,12.0
1653,conventional,12.0
1654,conventional,12.0
1656,conventional,12.0
1658,conventional,12.0
1659,conventional,12.0
1660,conventional,12.0
1661,conventional,12.0
1662,conventional,12.0
1663,conventional,12.0
1664,conventional,12.0
1671,conventional,4.0
1672,conventional,4.0
1673,conventional,4.0
1701,conventional,11.0
1710,conventional,7.0
1712,conventional,7.0
1713,conventional,7.0
1715,conventional,2.0
1716,conventional,2.0
1717,conventional,2.0
1718,conventional,2.0
1719,conventional,2.0
1720,conventional,2.0
1721,conventional,
1722,conventional,
1723,conventional,
1801,hybrid,11.0
1803,hybrid,11.0
1804,hybrid,11.0
1805,hybrid,11.0
1812,conventional,11.0
1813,conventional,11.0
1814,conventional,11.0
1816,conventional,11.0
1819,conventional,11.0
1821,conventional,10.0
1822,conventional,10.0
1824,conventional,10.0
1826,conventional,10.0
1831,conventional,8.0
1832,conventional,8.0
1834,conventional,8.0
1835,conventional,8.0
1837,conventional,8.0
1840,conventional,7.0
1841,conventional,7.0
1842,conventional,7.0
1843,conventional,7.0
1845,conventional,7.0
1849,conventional,7.0
1851,conventional,2.0
1853,conventional,2.0
1854,conventional,2.0
1855,conventional,2.0
1856,conventional,2.0
1857,conventional,1.0
1858,conventional,1.0
1859,conventional,1.0
3212,conventional,15.0
3223,conventional,14.0
3224,conventional,14.0
3225,conventional,14.0
3227,conventional,13.0
3228,conventional,13.0
3302,conventional,11.0
3306,conventional,11.0
3308,conventional,11.0
3309,conventional,11.0
3310,conventional,11.0
3311,conventional,8.0
3312,conventional,8.0
3313,conventional,8.0
3314,conventional,8.0
3317,conventional,2.0
3319,conventional,2.0
3320,conventional,2.0
3321,conventional,
3322,conventional,
3323,conventional,
3401,hybrid,9.0
5574,conventional,
7550,conventional,14.0
7551,conventional,14.0
7552,conventional,12.0
7553,conventional,2.0
7554,conventional,2.0
7660,conventional,13.0
7661,conventional,13.0
7662,conventional,13.0
7801,conventional,11.0
7802,conventional,11.0
7811,conventional,10.0
7812,conventional,10.0
7814,conventional,10.0
7815,conventional,10.0
7901,hybrid,9.0
7902,hybrid,9.0
